movie_name,movie_comment,movie_label
chrissy_judy,Theres something quite refreshing about Chrissy Judy arriving and allowing itself to be queer for the sake of its own queerness,fresh
chrissy_judy,Chrissy Judy is a story about young adult crisis about finding one self and learning how to deal with the uncertainty of our immediate future But most of all this is a universal story about friendship that surpasses the queer domain,fresh
chrissy_judy,"Flaherty’s writing and performance make no pretense of positive representation, and — just like its main character — his movie seems to delight in flaunting the very things that make the strait-laced crowd clutch their proverbial pearls.",fresh
chrissy_judy,A torch song of a film.,fresh
chrissy_judy,Refreshingly witty honest tender and funny,fresh
chrissy_judy,A film about reckoning and embracing reality A reality thats not as loud as music in clubs or as steamy as a casual encounter Reality sometimes is finding the truth when speaking to your friend and being able to see them for what they truly are,fresh
chrissy_judy,If the unevenness of Chrissy Judy doesnt ever grate or detract from its overall effect this is because its heart is squarely in the right place,fresh
chrissy_judy,This is an ambitious film made on a very small budget. It's also deeply charming.,fresh
chrissy_judy,Change is hard and love is harder especially if were not ready for them Its always thrilling to watch an artist so vividly capture that truth,fresh
chrissy_judy,This is a throwback a melodramatic rom-com that could be from an earlier era in queer cinema Its predictableneeded more bitchy laughs,fresh
chrissy_judy,A major achievement for the multi-hyphenate who not only gives a charming star-making lead turn but also wrote directed and edited this bittersweet slice of gay modern life,fresh
chrissy_judy,Flaherty the director is assured and bold in his choices Flaherty the writer incisive sassy and authentic taking stereotypes and inverting them Flaherty the actor Sheer perfection,fresh
the_strange_case_of_jacky_caillou,"It is something of a strange case of its own, taking what turns out to be a familiar horror genre and making it something that definitely has supernatural elements and jeopardy, but isn’t really horror.",fresh
the_strange_case_of_jacky_caillou,"A thoughtful, offbeat film with the character of folklore.",fresh
the_strange_case_of_jacky_caillou,A mildly engaging psychological horror film but ultimately underwhelming and not quite as moving haunting and powerful as Let the Right One In ,fresh
the_strange_case_of_jacky_caillou,A story of responsibility and transformation of both the physical and emotional kind quotJacky Caillouquot is a creative and interesting exercise in independent fantasy  horror filmmaking,fresh
the_strange_case_of_jacky_caillou,"Near-documentary realism is married to something altogether more otherworldly in Lucas Delangle’s engagingly offbeat debut fiction feature, even though he doesn’t always succeed in striking a perfect balance between the two.",fresh
law_of_tehran,"... The journalistic element is rather too laboured, but it’s still of interest. And there are moments of punchy drama along the way.",fresh
law_of_tehran,Combines the vérité grit of The French Connection with the physical slapstick of Buster Keaton. Really. It’s a deliberately bewildering cocktail of brutal tragedy and gallows farce that runs throughout this very arresting feature.,fresh
law_of_tehran,Roustayi directs kinetic action sequences that would see him snapped up by Hollywood but he’s also a master of meaty dialogue scenes set in offices and courtrooms that flesh out the lead characters. ,fresh
law_of_tehran,"It’s an exquisitely tense and perfectly played tale of a hardbitten copper, Samad, and his dogged pursuit of the slippery drug lord Naser.",fresh
law_of_tehran,"If Michael Mann made a movie in Iran it might look like this: a ferocious drama-thriller in which a haunted, morally ambiguous cop faces off with a despairing drug lord.",fresh
law_of_tehran,"The film is spectacular but lacks strength and coherence, and furthermore, it introduces a few subplots that stretch an already generous running time. [Full review in Spanish]",fresh
law_of_tehran,... A complex story that is cinematically masterful. [Full review in Spanish],fresh
law_of_tehran,In the end this thriller functions to makes us feel uncomfortable. [Full review in Spanish],fresh
law_of_tehran,A riveting thriller from start to finish - and a movie with much to say about the situation it grimly depicts.,fresh
law_of_tehran,"While the plot details do not sound particularly out of the ordinary, it is the way that it all comes together that makes this one of the most exhilarating crime films of the year.",fresh
law_of_tehran,"The film starts with a chase which would not be amiss in any American thriller, and a search in a slum built entirely out of sewage pipes is a visually jaw-dropping sequence.",fresh
law_of_tehran,It is a tough crime procedural that becomes a thorny portrayal of corruption and mercy.,fresh
law_of_tehran,"In a nearly universally excellent film, Navid Mohammadzadeh is a standout, communicating how Nasser is simultaneously a champion of the people and one of their greatest traitors.",fresh
law_of_tehran,As breathtaking as anything at your neighborhood multiplex.,fresh
law_of_tehran,Mohammadzadeh's performance is the picture's greatest asset. It's just that its shortcomings -- and its -minute runtime -- force it to play much rougher than it ought to.,rotten
law_of_tehran,Just . feels hopeless and manic in the same breath. It's timely as hell.,fresh
law_of_tehran,"A riveting, ripped-from-reality thriller that delivers a searing look at a serious problem.",fresh
law_of_tehran,"A gripping crime thriller that also makes a sharp political statement, Just . paints a bleak picture of Iranian law enforcement's attempts to deal with the country's flourishing narcotics trade.",fresh
law_of_tehran,"Just . is more than a thrilling watch. It is a sobering reflection on the inability of the law to stem the tide of drug addiction through round-ups, arrests and executions.",fresh
imordecai,The disjointed comedydrama iMordecai is based on a true story but this dull movie looks more like fragmented segments of a very phony sitcom Even with the talents of Judd Hirsch and Carol Kane iMordecai is undone by misguided filmmaking,rotten
imordecai, iMordecai is a loving tribute to family friendship always evolving and of course South Florida ,fresh
imordecai,Ill spare you the litany of the many truly awful films wrought under similar circumstances but  Samel  who says he studied filmmaking by watching online Master Classes  has birthed a lovingly crafted sweetly nuanced tale of familial love,fresh
imordecai,Samel demonstrates that thereaposs life and even humor after unspeakable tragedy and that life can keep on giving for those who are up for enjoying the ride,fresh
imordecai,Judd Hirsch goes full shtick in a sweet but mawkishly sentimental tribute to heritage and family iMordecai adds a hefty serving of schmaltz with labored subplots that dilute the narrative,rotten
